Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C0ZGI1,1,3,5.0,0.6948377691980704,1.0
C10CHQ,1,0,4.0,,0.0
C10EFC,1,8,3.0,,0.0
C10EIB,1,2,7.0,3.886111101882227,1.0
C10TNL,1,6,2.0,-0.8083857394697593,0.4144
C12AFP,2,3,4.5,1.9175666121169872,1.0
C12CRJ,1,6,2.0,-0.49892218025118684,0.4666
C12GLJ,2,3,5.0,1.5935502526752323,1.0
C12HQW,1,8,3.0,-0.22819231853363836,0.7458
C12MFU,1,0,7.0,,0.0
C12RCY,1,3,3.0,-1.4391848634741369,0.3256
C12RPS,2,7,4.0,1.4637603360286122,1.0
C12VKX,1,6,4.0,0.6286723010771527,0.8316
C12XTS,1,3,3.0,-1.8692486272892415,0.163
C13AFE,1,0,4.0,,0.0
C13CZV,1,2,7.0,9.927809602765956,1.0
C13FGZ,1,3,5.0,0.0,1.0
C13IEA,2,6,2.5,-0.027511910559720194,0.5046
C13KPA,4,3,5.25,1.555090740437598,0.909
C13MHS,1,8,2.0,-1.0553431175074917,0.2342
C13NVH,2,6,1.0,-1.5104395474943506,0.1684
C13OZW,2,0,7.5,,0.0
C13PBU,1,3,3.0,-0.7278439859167346,0.3256
C13QYB,1,3,4.0,-0.5295738938390189,0.5168
C13SAT,1,6,2.0,-0.38334811405491903,0.5808
C13WGE,2,2,6.0,0.0,1.0
C14GTU,1,0,4.0,,0.0
C14JRV,1,7,4.0,1.6246825068184256,1.0
C14NAT,1,3,5.0,2.4028701968429527,1.0
C14NZO,1,6,1.0,-1.7101973460411706,0.1288
C14OBS,1,8,3.0,-0.8933459188170043,0.2486
C14SFO,1,6,4.0,0.6315222957062698,0.8314
C14SYJ,1,0,7.0,,0.0
C14VJA,1,3,4.0,-1.0628920818611052,0.4068
C14XBZ,1,6,4.0,0.6286723010771527,0.8316
C14YFA,1,3,5.0,1.5935502526752323,1.0
C14ZPK,2,2,6.0,0.0,1.0
C15BDE,1,3,3.0,-1.8692486272892415,0.163
C15BDL,1,0,4.0,,0.0
C15DMN,1,7,5.0,1.425599136383901,1.0
C15NJF,1,6,2.0,-0.40677376782099756,0.5084
C15YTW,1,8,3.0,,0.0
C15YWK,1,3,6.0,3.4575907769934737,1.0
