DCN	SDC1
DCTD	NT5E
DCTD	DTYMK
DCTD	DCTPP1
DCTD	RFC4
DCTD	NT5C2
DCTPP1	NT5E
DCTD	NT5C3A
DCTPP1	NT5C2
DCTPP1	POLD1
DCTPP1	NT5C3A
DCTPP1	NME1
DCTPP1	NME2
DCUN1D1	TCEB2
DCUN1D1	UBE2M
DCUN1D1	FBXO2
DCUN1D1	HEATR2
DCUN1D1	GPS1
DCUN1D1	FBXO22
DCUN1D1	UBXN7
DCUN1D1	UBE2D3
DCUN1D1	UBA3
DCUN1D1	NAE1
DDX17	NAT10
DDX17	DDX5
DDX17	KHDRBS1
DDX17	WDR12
DDX17	SRA1
DDX17	PDCD11
DDX17	UBE2I
DDX17	TXLNA
DDX17	SUMO1
DDX17	NOP2
DDX17	DDX24
DDX19A	SPTAN1
DDX19A	SPTBN1
DDX19A	SEPHS1
DDX21	WDR12
DDX19A	EIF4E
DDX21	RRS1
DDX21	POLR1A
DDX21	HIST1H2AC
DDX21	GSK3B
DDX21	MYBBP1A
DDX21	RSL1D1
DDX24	RBM28
DDX21	GNL3
DDX24	GRWD1
DDX24	DDX5
DDX24	DDX56
DDX24	NAT10
DDX24	UTP20
DDX24	WDR12
DDX24	POLR1A
DDX24	UTP6
DDX24	XRN1
DDX24	NSUN2
DDX24	NVL
DDX24	NOP9
DDX24	UTP15
DDX24	PWP2
DDX24	WDR3
DDX24	NOL6
DDX24	NOC2L
DDX24	WDR75
DDX24	RRS1
DDX24	KRI1
DDX24	NOC4L
DDX24	DDX54
DDX24	DDX47
DDX24	RRP1B
DDX24	HEATR1
DDX24	TFB2M
DDX24	GNL1
DDX24	PDCD11
DDX24	MYBBP1A
DDX24	PAK1IP1
DDX24	NOP2
DDX24	NOL10
DDX24	PWP1
DDX24	UTP14A
DDX24	FTSJ3
DDX24	GNL3
DDX24	NMD3
DDX24	RPF2
DDX24	RRP12
DDX24	WDR36
DDX24	RSL1D1
DDX24	TBL3
DDX27	TRMT6
DDX24	DDX27
DDX27	GRWD1
DDX27	RBM28
DDX27	DDX56
DDX27	NAT10
DDX27	UTP20
DDX27	WDR12
DDX27	POLR1A
DDX27	UTP6
DDX27	NOP9
DDX27	NSUN2
DDX27	NVL
DDX27	NHP2
DDX27	PWP2
DDX27	DHX32
DDX27	NOL6
DDX27	UTP15
DDX27	WDR3
DDX27	WDR75
DDX27	SRP68
DDX27	KRI1
DDX27	NOC2L
DDX27	DDX54
DDX27	RRS1
DDX27	POLR3C
DDX27	NOC4L
DDX27	DDX47
DDX27	RRP1B
DDX27	HEATR1
DDX27	TFB2M
DDX27	PDCD11
DDX27	TRMT1L
DDX27	PAK1IP1
DDX27	EXOSC10
DDX27	NOL10
DDX27	MYBBP1A
DDX27	UTP14A
DDX27	NOP2
DDX27	GNL3
DDX27	PWP1
DDX27	RPF2
DDX27	FTSJ3
DDX27	WDR36
DDX27	NMD3
DDX27	TBL3
DDX27	RRP12
DDX27	EMG1
DDX27	RSL1D1
DDX39A	PAPOLA
DDX39A	EEF1G
DDX39A	RAN
DDX39A	SRSF11
DDX39A	ZC3H11A
DDX39A	SRRM1
DDX39A	SRSF5
DDX39A	NXF1
DDX39A	RANBP2
DDX39A	DDX39B
DDX39A	NCBP1
DDX39A	SARNP
DDX39A	POLDIP3
DDX39B	TARDBP
DDX39B	PAPOLA
DDX39B	RANBP2
DDX39B	KHDRBS1
DDX39B	EEF2
DDX39B	SRRM1
DDX39B	HNRNPA0
DDX39B	SARNP
DDX39B	EEF1G
DDX39B	SRSF11
DDX39B	HNRNPA1
DDX39B	RAN
DDX39B	NCBP1
DDX39B	SRSF5
DDX39B	SRRT
DDX39B	SSB
DDX39B	ZC3H11A
DDX39B	NXF1
DDX39B	ELAVL1
DDX39B	POLDIP3
DDX3X	TBK1
DDX3X	IMPDH1
DDX41	TBK1
DDX41	IRF3
DDX41	IFI16
DDX42	PAPOLA
DDX42	GPKOW
DDX42	LSM8
DDX42	DDX5
DDX42	WBP11
DDX42	PPIL4
DDX42	DNAJC8
DDX42	PPWD1
DDX42	PPIH
DDX42	PPIL3
DDX42	HNRNPA0
DDX42	SART1
DDX42	SRRM1
DDX42	PRPF31
DDX42	PCBP2
DDX42	HNRNPA1
DDX42	YBX1
DDX42	SRSF11
DDX42	PPIL1
DDX42	PPIE
DDX42	NCBP1
DDX42	PRPF4
DDX42	DHX16
DDX42	LSM2
DDX42	HNRNPUL1
DDX42	SF1
DDX42	ELAVL1
DDX42	TFIP11
DDX42	LSM6
DDX42	DDX46
DDX42	SRSF5
DDX42	PUF60
DDX42	LSM4
DDX42	SRRT
DDX46	PAPOLA
DDX46	GPKOW
DDX46	LSM8
DDX46	DDX5
DDX46	WBP11
DDX46	PPIL4
DDX46	DNAJC8
DDX46	PPWD1
DDX46	PPIH
DDX46	PPIL3
DDX46	HNRNPA0
DDX46	SART1
DDX46	SRRM1
DDX46	PRPF31
DDX46	PCBP2
DDX46	HNRNPA1
DDX46	YBX1
DDX46	SRSF11
DDX46	PPIL1
DDX46	PPIE
DDX46	NCBP1
DDX46	PRPF4
DDX46	DHX16
DDX46	LSM2
DDX46	HNRNPUL1
DDX46	SF1
DDX46	ELAVL1
DDX46	TFIP11
DDX46	LSM6
DDX46	SRRT
DDX46	LSM4
DDX46	SRSF5
DDX47	RBM28
DDX46	PUF60
DDX47	NOL11
DDX47	GRWD1
DDX47	DDX56
DDX47	NAT10
DDX47	UTP20
DDX47	WDR12
DDX47	NOP9
DDX47	UTP6
DDX47	PWP2
DDX47	NHP2
DDX47	UTP15
DDX47	RPS23
DDX47	WDR3
DDX47	NOL6
DDX47	NOC2L
DDX47	WDR75
DDX47	RRS1
DDX47	KRI1
DDX47	NOC4L
DDX47	DDX54
DDX47	RPS26
DDX47	RRP1B
DDX47	NMD3
DDX47	RRP12
DDX47	GNL3
DDX47	PAK1IP1
DDX47	NOL10
DDX47	PWP1
DDX47	RSL1D1
DDX47	RPF2
DDX47	RPS15
DDX47	RPS27
DDX47	XRN2
DDX47	RPP30
DDX47	UTP14A
DDX47	EXOSC10
DDX47	HEATR1
DDX47	WDR36
DDX47	EMG1
DDX47	NOP2
DDX47	TBL3
DDX47	PDCD11
DDX5	GPKOW
DDX47	FTSJ3
DDX5	WDR12
DDX5	PAPOLA
DDX5	RRP12
DDX5	PWP1
DDX5	PDCD11
DDX5	NOP2
DDX5	GMPS
DDX5	NAT10
DDX5	PPWD1
DDX5	SUMO1
DDX5	UBE2I
DDX5	TFIP11
DDX5	SRSF11
DDX5	PPIH
DDX5	PPIL4
DDX5	PPIE
DDX5	PPIL1
DDX5	PPIL3
DDX5	LSM6
DDX5	DNAJC8
DDX5	PUF60
DDX5	LSM2
DDX5	PRPF31
DDX5	PRPF4
DDX5	SART1
DDX5	HNRNPUL1
DDX5	LSM4
DDX5	LSM8
DDX5	ELAVL1
DDX5	SRRT
DDX5	NCBP1
DDX5	PCBP2
DDX5	YBX1
DDX5	SRSF5
DDX5	SRRM1
DDX5	SF1
DDX5	DHX16
DDX5	PRMT1
DDX5	HNRNPA1
DDX5	WBP11
DDX54	RBM28
DDX5	HNRNPA0
DDX54	NAT10
DDX54	GRWD1
DDX54	WDR12
DDX54	DDX56
DDX54	UTP6
DDX54	UTP20
DDX54	NOP9
DDX54	POLR1A
DDX54	NVL
DDX54	NHP2
DDX54	UTP15
DDX54	PWP2
DDX54	WDR3
DDX54	NOL6
DDX54	NOC2L
DDX54	WDR75
DDX54	RRS1
DDX54	KRI1
DDX54	TRMT61A
DDX54	TFB2M
DDX54	EXOSC10
DDX54	RRP1B
DDX54	PWP1
DDX54	UTP14A
DDX54	MYBBP1A
DDX54	HEATR1
DDX54	NMD3
DDX54	WDR36
DDX54	GNL3
DDX54	TBL3
DDX54	PDCD11
DDX54	RSL1D1
DDX54	NOL10
DDX54	RRP12
DDX54	NOC4L
DDX54	PAK1IP1
DDX54	FTSJ3
DDX54	RPF2
DDX56	TRMT6
DDX54	NOP2
DDX56	GRWD1
DDX56	RBM28
DDX56	TRMT1L
DDX56	NAT10
DDX56	TFB2M
DDX56	IPO5
DDX56	RRP1B
DDX56	GNL1
DDX56	NVL
DDX56	PWP2
DDX56	POLR3C
DDX56	EMG1
DDX56	WDR75
DDX56	NOC4L
DDX56	UTP15
DDX56	POLR1A
DDX56	MYBBP1A
DDX56	NHP2
DDX56	KRI1
DDX56	GNL3
DDX56	PAK1IP1
DDX56	NMD3
DDX56	UTP6
DDX56	HEATR1
DDX56	RSL1D1
DDX56	PWP1
DDX56	NOL10
DDX56	NOP9
DDX56	NOL6
DDX56	RRP12
DDX56	WDR3
DDX56	WDR12
DDX56	PDCD11
DDX56	FTSJ3
DDX56	UTP14A
DDX56	RRS1
DDX56	TBL3
DDX56	NOP2
DDX56	NOC2L
DDX56	WDR36
DDX58	EIF2AK2
DDX56	RPF2
DDX58	UBE2K
DDX58	RIPK1
DDX58	TRIM25
DDX58	UBE2L6
DDX58	UBA7
DDX58	TBK1
DDX58	JAK1
DDX58	MX2
DDX58	PCBP2
DDX58	UBE2D3
DDX58	PARP9
DDX58	NFKB2
DDX58	STAT1
DDX58	IFIT5
DDX58	IKBKB
DDX58	ISG15
DDX58	IRF3
DDX58	MX1
DECR2	IDH1
DECR2	IDE
DECR2	GNPAT
DECR2	UBE2D3
DENR	RPS23
